datetime,open,high,low,close,volume
2015-01-02 14:30:00,39.3650016784668,39.89500045776367,39.189998626708984,39.76499938964844,55498200
2015-01-05 14:30:00,39.209999084472656,39.224998474121094,37.92499923706055,38.119998931884766,90790400
2015-01-06 14:30:00,38.05500030517578,38.3650016784668,37.29499816894531,37.560001373291016,83753200
2015-01-07 14:30:00,38.01499938964844,38.18000030517578,37.38999938964844,37.63999938964844,62384800
2015-01-08 14:30:00,37.94499969482422,38.57500076293945,37.790000915527344,38.48500061035156,56373800
2015-01-09 14:30:00,38.5099983215332,38.57500076293945,37.834999084472656,38.18000030517578,49904200
2015-01-12 14:30:00,37.69499969482422,37.69499969482422,36.880001068115234,37.08000183105469,57881200
2015-01-13 14:30:00,37.22999954223633,37.52000045776367,36.439998626708984,36.78499984741211,68102800
2015-01-14 14:30:00,36.435001373291016,36.95500183105469,35.849998474121094,36.900001525878906,104305000
2015-01-15 14:30:00,37.334999084472656,37.43000030517578,36.400001525878906,36.43000030517578,82692000
2015-01-16 14:30:00,36.64500045776367,37.665000915527344,36.6150016784668,37.6150016784668,85483800
2015-01-20 14:30:00,37.41999816894531,37.68000030517578,36.96500015258789,37.65999984741211,56171600
2015-01-21 14:30:00,37.935001373291016,38.435001373291016,37.65999984741211,38.42499923706055,56661600
2015-01-22 14:30:00,38.66999816894531,38.724998474121094,37.900001525878906,38.60499954223633,66037600
2015-01-23 14:30:00,38.43000030517578,38.880001068115234,38.27000045776367,38.33000183105469,42294800
2015-01-26 14:30:00,38.459999084472656,38.97999954223633,38.119998931884766,38.880001068115234,36724200
2015-01-27 14:30:00,38.57500076293945,39.040000915527344,38.47999954223633,38.85499954223633,43204600
2015-01-28 14:30:00,38.75,38.75,37.25,37.32500076293945,77666800
2015-01-29 14:30:00,37.625,37.67499923706055,36.60499954223633,37.45000076293945,60247400
2015-01-30 14:30:00,37.16999816894531,38.20500183105469,36.91999816894531,37.775001525878906,87696200
2015-02-02 14:30:00,38.2400016784668,38.94499969482422,37.97999954223633,38.93000030517578,70931400
2015-02-03 14:30:00,39.380001068115234,40.20000076293945,39.3650016784668,39.994998931884766,94055800
2015-02-04 14:30:00,39.474998474121094,39.70000076293945,39.005001068115234,39.334999084472656,82264400
2015-02-05 14:30:00,39.79999923706055,40.125,39.560001373291016,39.900001525878906,63572400
2015-02-06 14:30:00,40.21500015258789,40.28499984741211,39.709999084472656,39.90999984741211,52269200
2015-02-09 14:30:00,40.08000183105469,40.40999984741211,39.86000061035156,39.95000076293945,40407600
2015-02-10 14:30:00,40.02000045776367,40.05500030517578,39.20500183105469,39.93000030517578,43942600
2015-02-11 14:30:00,39.41999816894531,39.83000183105469,39.220001220703125,39.650001525878906,52393200
2015-02-12 14:30:00,40.189998626708984,40.35499954223633,39.900001525878906,40.16999816894531,52844600
2015-02-13 14:30:00,40.564998626708984,41.064998626708984,40.459999084472656,41.02000045776367,62375800
2015-02-17 14:30:00,40.82500076293945,41.21500015258789,40.584999084472656,41.14500045776367,44251800
2015-02-18 14:30:00,40.810001373291016,40.974998474121094,40.54499816894531,40.654998779296875,38762800
2015-02-19 14:30:00,39.810001373291016,40.69499969482422,39.630001068115234,40.46500015258789,47744000
2015-02-20 14:30:00,40.35499954223633,40.560001373291016,39.935001373291016,40.27000045776367,51283600
2015-02-23 14:30:00,39.875,40.43000030517578,39.775001525878906,40.10499954223633,39359000
